Threat ID	CWE	Weakness	Attack Surface	Violation (CIA)	Impact	Severity	Attacker Profile	Description	Defenses	Risk Score
1	-	Sensitive data exposure - Device ID/serial no	Device Physical Interfaces	C	Senstive data disclosure	Low	Local	An attacker could gather more critical information regarding to internals of the device which makes easy to conduct other various attacks.		
2	-	Firmware/storage extraction - Insecure external media interfaces	Device Physical Interfaces	C	Senstive data disclosure	Low	Local	An attacker could copy the firmware/storage and even modify firmware if device allows to physically remove the storage media (SD Card, USB).		
3	-	Firmware/storage extraction - Download from the Web	Device Physical Interfaces	C	Senstive data disclosure	Low	Local	An attacker could download the firmware from the manufacturer's website if access to the firmware image without authentication is possible.		
4	-	Firmware/storage extraction - Insecure SPI interface	Device Physical Interfaces	C	Senstive data disclosure	Low	Local	An attacker could dump the firmware if access to the flash/EEPROM chip is not restricted through the serial bus protocol SPI.		
5	-	Firmware/storage extraction - Insecure I2C interface	Device Physical Interfaces	C	Senstive data disclosure	Low	Local	An attacker could dump the firmware if access to the flash/EEPROM chip is not restricted through the serial bus protocol I2C.		
6	-	Firmware/storage extraction - Insecure UART interface	Device Physical Interfaces	C	Senstive data disclosure	Low	Local	An attacker could dump the firmware if access to the flash/EEPROM chip is not restricted through the serial interface UART.		
7	1324, 1191	Firmware/storage extraction - Insecure JTAG interface	Device Physical Interfaces	C	Senstive data disclosure	Low	Local	An attacker could dump the firmware if access to the flash/EEPROM chip is not restricted through the debug interface JTAG.		
8	1324, 1191	Firmware/storage extraction - Insecure SWD interface	Device Physical Interfaces	C	Senstive data disclosure	Low	Local	An attacker could dump the firmware if access to the flash/EEPROM chip is not restricted through the debug interface SWD.		
9	-	Firmware/storage extraction - Insecure SoC	Device Physical Interfaces	C	Senstive data disclosure	Low	Local	An attacker could dump the firmware if access to the flash/EEPROM chip is not restricted through the other SoC (System on Chip) (i.e. Bluetooth).		
10	-	Firmware/storage extraction - Insecure eMMC chip	Device Physical Interfaces	C	Senstive data disclosure	Low	Local	An attacker could dump the firmware by tapping if it is stored an embedded Multi Media Card (eMMC) flash chip (embedded SD card). An attacker could dump the firmware by unsoldering chip then reading it with an adapter if it is stored in an embedded Multi Media Card (eMMC) flash chip (embedded SD card).		
